20220421	06:36:04	INFO	REGISTER	6eec9b9f example@example.com	A_New_User_Registered	fa443a3a-1411-4f0d-a04c-a392513cdf83
20220421	06:36:14	INFO	LOGIN	6eec9b9f example@example.com	A_User_Logged_In	cb4ce852-2c8c-4fd5-95df-fee927afef99
20220421	06:36:20	INFO	LOGOUT	6eec9b9f example@example.com	A_User_Logged_Out	c2089c90-a4a5-403d-af0a-bb21cdf7f49c

20220421	13:10:04	INFO	LOGIN	7f7918a3 w@w	A_User_Logged_In	17be28b7-abe6-461e-828c-708c8a846051
20220421	13:10:06	INFO	LOGOUT	7f7918a3 w@w	A_User_Logged_Out	ea8f1fb6-5cfe-4fae-91fa-5ff64b839c70
20220421	13:12:54	INFO	LOGIN	7f7918a3 w@w	A_User_Logged_In	59326616-33de-49d1-8412-b4ba090a46b8
20220421	13:12:54	INFO	LOGOUT	7f7918a3 w@w	A_User_Logged_Out	2b25d3f7-e95b-4efb-92f1-38a67da594c6
20220421	13:13:59	ERROR	LOGIN	w@w	Incorrect_Email_Or_Password_Used	0cb9b263-7860-4ae7-83d0-c2c37197d200
20220421	13:48:31	ERROR	LOGIN	mike@erwe	Incorrect_Email_Or_Password_Used	e32528a5-e3ca-4cb1-aa10-4985f8a9b26d
20220421	13:49:43	ERROR	LOGIN	mike@wrwe	Incorrect_Email_Or_Password_Used	d47ba5e2-3236-46c3-99b9-65b82e2ed8a9
